symbol,name,area,type,description,row,col,hierarchy,level,lifecycle,skillType,long_description
VU,Vision Understanding,vision-strategy,Behavior,"Understand and explain product vision",1,1,junior,junior,strategy,thinking,"What it is: Understand the purpose and direction of the product and communicate it clearly. Why it matters: In GxP environments, teams need orientation not only on features but on compliance and business value. Example: Explaining that a QMS feature exists to ensure inspection readiness, not just usability."
PF,Problem Framing Basics,vision-strategy,Behavior,"Differentiate problem vs solution",1,2,junior,junior,strategy,thinking,"What it is: Recognize whether something is a real problem or already a proposed solution. Why it matters: Avoids building the wrong thing. Example: Realizing that 'we need a dashboard' is actually a visibility problem."
OB,Opportunity Breakdown,vision-strategy,Behavior,"Break down complex opportunities",1,3,junior,junior,discovery,thinking,"What it is: Decompose large problems into manageable parts. Why it matters: Product problems are rarely simple. Example: Breaking inspection readiness into audit trail, reporting, and workflow issues."
GA,Goal Awareness - OKRs/KPIs,vision-strategy,Behavior,"Understand KPIs and goals",2,1,junior,junior,strategy,thinking,"What it is: Understand how success is measured. Why it matters: Without metrics, there is no product success. Example: Knowing that reducing CAPA cycle time is a key KPI."

PS,Product Strategy Development,vision-strategy,Behavior,"Define product direction and trade-offs",4,1,mid,mid,strategy,thinking,"What it is: Define where the product should go and what not to do. Why it matters: Product success depends on focus. Example: Deciding not to build custom features to preserve standardization."
SP,Strategic Prioritization,vision-strategy,Behavior,"Make conscious prioritization decisions",4,2,mid,mid,planning,thinking,"What it is: Decide what matters most based on value and constraints. Why it matters: In GxP, prioritization must consider compliance and validation effort. Example: Prioritizing a compliance fix over a user convenience feature."
RA,Regulatory Strategy Awareness,vision-strategy,Behavior,"Understand compliance impact on product",4,3,mid,mid,strategy,thinking,"What it is: Understand how product decisions affect validation, audits, and compliance. Why it matters: Strategy must be feasible within regulatory constraints. Example: Recognizing that frequent releases increase validation effort."
RS,Roadmap Strategy,vision-strategy,Beh^avior,"Align roadmap with strategy",5,1,mid,mid,planning,execution,"What it is: Ensure roadmap reflects strategy, not random requests. Why it matters: Roadmaps drive execution. Example: Sequencing features based on compliance impact."
BC,Business Case Thinking,vision-strategy,Behavior,"Connect cost, value and risk",5,2,mid,mid,growth,thinking,"What it is: Evaluate initiatives based on value vs cost. Why it matters: Investments must be justified. Example: Showing ROI for automation reducing audit effort."

AI,AI Opportunity Strategy,vision-strategy,AI,"Identify meaningful AI use cases",6,2,ai,mid,strategy,thinking,"What it is: Decide where AI adds value in the product. Why it matters: AI should solve real problems, not create risk. Example: Using AI for summarization, not for critical decisions."

PS2,Portfolio Strategy,vision-strategy,Behavior,"Think across multiple products",7,1,senior,senior,strategy,thinking,"What it is: Manage and align multiple products strategically. Why it matters: Senior PMs must optimize across systems. Example: Aligning multiple compliance tools toward one audit-ready platform."
RV,Regulatory Value Strategy,vision-strategy,Behavior,"Balance compliance and efficiency",7,2,senior,senior,strategy,thinking,"What it is: Combine compliance, cost, and efficiency in decision-making. Why it matters: Over-compliance creates cost, under-compliance creates risk. Example: Finding balance between strict controls and usability."
LC,Long-term Capability Strategy,vision-strategy,Behavior,"Build capabilities not just features",8,1,senior,senior,strategy,thinking,"What it is: Focus on long-term system capabilities. Why it matters: Features are temporary, capabilities are lasting. Example: Building a reusable audit-trail capability."
SR,Strategic Risk Management,vision-strategy,Behavior,"Anticipate risks early",8,3,senior,senior,strategy,thinking,"What it is: Identify risks before they become issues. Why it matters: Proactive risk handling avoids compliance failures. Example: Recognizing data integrity risks early in design."
TF,Transformation Framing,vision-strategy,Behavior,"Define transformation initiatives",9,1,senior,senior,strategy,thinking,"What it is: Frame large-scale change efforts. Why it matters: Senior PMs drive transformation, not just iteration. Example: Moving from siloed systems to a unified compliance platform."

AR,AI Risk Framing,vision-strategy,AI,"Assess AI-related risks",9,2,ai,senior,strateg,technical,"What it is: Identify risks related to AI such as explainability and governance. Why it matters: AI introduces new compliance risks. Example: Evaluating whether AI outputs are auditable."
RU,Roadmap Understanding,roadmaps,Behavior,"Understand what a roadmap is and what it is not",1,4,junior,junior,planning,thinking,"What it is: Understand that a roadmap is a directional planning tool and not just a list of tasks. A roadmap explains where the product is going, which themes matter, and what will likely be addressed over time. Why it matters: In a GxP-regulated environment, a roadmap must reflect not only user needs but also validation effort, compliance priorities, and release constraints. For people outside product management, this means the roadmap is the bridge between business goals and the actual system changes that can be delivered safely. Example: A junior PM should be able to explain why a data-integrity improvement appears before a convenience feature, even if both are requested by users."
MA,Milestone Awareness,roadmaps,Behavior,"Understand releases, milestones, and timing dependencies",1,5,junior,junior,planning,execution,"What it is: Recognize the most important checkpoints in the delivery timeline, such as release dates, testing phases, validation activities, training windows, or inspection-related deadlines. Why it matters: In regulated environments, timing is not only about engineering delivery. Product changes often require documentation, approvals, validation evidence, and coordinated rollout. For a non-specialist, this means that software updates cannot simply be 'pushed live' whenever the code is ready. Example: A roadmap item affecting audit-trail behavior may need to be aligned with validation planning and user training before it can be released."
